index,name,group,tvgId,streamUrl,status,savedPath,sourceUrl,imageFormat,width,height,bytes,candidatesTried,reason
1,Moldova 1 HD MD,Moldova,,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/19451/index.m3u8,saved,output/channel-logos-smoke-50/logos/0001-moldova-1-hd-md.png,http://iptvx.one/picons/cinema1-md.png,png,200,200,16813,6,
2,Moldova 2 HD MD,Moldova,,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/19439/index.m3u8,saved,output/channel-logos-smoke-50/logos/0002-moldova-2-hd-md.png,http://iptvx.one/picons/moldova-2.png,png,200,200,12051,2,
3,Jurnal TV HD MD,Moldova,,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/19443/index.m3u8,saved,output/channel-logos-smoke-50/logos/0003-jurnal-tv-hd-md.png,http://iptvx.one/picons/noroc-tv-md.png,png,200,200,17674,8,
4,TV8 HD MD,Moldova,,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/19449/index.m3u8,saved,output/channel-logos-smoke-50/logos/0004-tv8-hd-md.png,http://iptvx.one/picons/tv8-tr.png,png,200,200,34483,7,
5,Pro TV Chisinau HD MD,Moldova,,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/19452/index.m3u8,saved,output/channel-logos-smoke-50/logos/0005-pro-tv-chisinau-hd-md.png,http://iptvx.one/picons/pro-tv-md.png,png,200,200,11624,4,
6,Realitatea Live HD MD,Moldova,,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/31894/index.m3u8,saved,output/channel-logos-smoke-50/logos/0006-realitatea-live-hd-md.png,http://epg.one/img/9783.png,png,165,165,10137,1,
7,Global 24 HD MD,Moldova,,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/19450/index.m3u8,saved,output/channel-logos-smoke-50/logos/0007-global-24-hd-md.png,http://epg.one/img/7823.png,png,165,165,10108,1,
8,N4 MD,Moldova,2789,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/2460/index.m3u8,saved,output/channel-logos-smoke-50/logos/0008-n4-md.png,http://iptvx.one/picons/n4.png,png,200,200,13682,4,
9,Moldova TV MD,Moldova,9773,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/2453/index.m3u8,saved,output/channel-logos-smoke-50/logos/0009-moldova-tv-md.png,http://iptvx.one/picons/noroc-tv-md.png,png,200,200,17674,8,
10,GRT MD,Moldova,9777,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/2448/index.m3u8,saved,output/channel-logos-smoke-50/logos/0010-grt-md.png,http://epg.one/img/9777.png,png,165,165,21560,3,
11,TVR Moldova MD,Moldova,7824,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/2464/index.m3u8,saved,output/channel-logos-smoke-50/logos/0011-tvr-moldova-md.png,http://epg.one/img/7824.png,png,165,165,10884,3,
12,Regional TV MD,Moldova,11494,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/31900/index.m3u8,saved,output/channel-logos-smoke-50/logos/0012-regional-tv-md.png,http://iptvx.one/picons/noroc-tv-md.png,png,200,200,17674,8,
13,Studio-L MD,Moldova,11497,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/31903/index.m3u8,saved,output/channel-logos-smoke-50/logos/0013-studio-l-md.png,http://epg.one/img/11497.png,png,165,165,11037,3,
14,1TV,Moldova,1TV.cz,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/2466/index.m3u8,saved,output/channel-logos-smoke-50/logos/0014-1tv.png,http://www.sms.cz/kategorie/televize/bmp/loga/velka/1TV.png,png,54,71,2581,3,
15,Vocea Basarabiei HD MD,Moldova,,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/19444/index.m3u8,saved,output/channel-logos-smoke-50/logos/0015-vocea-basarabiei-hd-md.png,http://epg.one/img/9774.png,png,165,165,17914,1,
16,TVR 1 MD,Moldova,,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/5026/index.m3u8,saved,output/channel-logos-smoke-50/logos/0016-tvr-1-md.png,http://iptvx.one/picons/cinema1-md.png,png,200,200,16813,8,
17,Cinema 1 HD MD,Moldova,491412,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/19445/index.m3u8,saved,output/channel-logos-smoke-50/logos/0017-cinema-1-hd-md.png,http://epg.pw/media/images/epg/2026/01/06/20260106025333601179_54.png,png,200,200,16813,8,
